Anno;Mese;IncidentiMortali;IncidentiSoliFeriti;Morti;Feriti
2001;1;8;1225;8;1690
2001;2;10;1178;11;1616
2001;3;7;1412;7;1977
2001;4;8;1361;8;1904
2001;5;4;1693;4;2353
2001;6;9;1833;9;2506
2001;7;9;1648;9;2223
2001;8;6;842;7;1221
2001;9;6;1485;6;2075
2001;10;6;1669;6;2262
2001;11;6;1577;6;2170
2001;12;5;1451;5;2001
2002;1;7;1229;7;1699
2002;2;11;1181;11;1594
2002;3;3;1432;3;2021
2002;4;9;1430;10;2039
2002;5;6;1620;6;2213
2002;6;7;1512;7;2047
2002;7;7;1684;8;2287
2002;8;5;787;5;1141
2002;9;5;1531;5;2082
2002;10;5;1773;5;2387
2002;11;8;1692;8;2325
2002;12;1;1422;1;2008
2003;1;2;1234;2;1734
2003;2;5;1141;5;1578
2003;3;8;1471;8;2045
2003;4;4;1403;5;1901
2003;5;10;1739;10;2358
2003;6;11;1616;12;2163
2003;7;4;1419;4;1806
2003;8;5;694;5;961
2003;9;8;1396;9;1839
2003;10;5;1701;5;2246
2003;11;7;1430;7;1913
2003;12;;1406;0;1878
2004;1;6;1205;6;1635
2004;2;5;1127;5;1539
2004;3;2;1296;2;1742
2004;4;6;1385;6;1886
2004;5;8;1570;9;2099
2004;6;11;1566;11;2122
2004;7;3;1526;4;2003
2004;8;2;697;2;947
2004;9;6;1454;6;1956
2004;10;9;1701;9;2256
2004;11;7;1368;8;1871
2004;12;7;1349;7;1847
2005;1;8;1060;8;1482
2005;2;9;1089;10;1493
2005;3;9;1176;10;1564
2005;4;4;1305;5;1737
2005;5;7;1533;7;2038
2005;6;4;1432;4;1929
2005;7;5;1420;5;1899
2005;8;4;792;4;1069
2005;9;8;1334;10;1787
2005;10;7;1401;7;1871
2005;11;5;1450;5;1954
2005;12;8;1111;8;1560
2006;1;7;1200;8;1628
2006;2;15;925;15;1249
2006;3;4;1292;4;1719
2006;4;5;1169;5;1603
2006;5;6;1405;6;1882
2006;6;7;1458;7;1925
2006;7;14;1328;14;1803
2006;8;5;677;5;980
2006;9;4;1259;4;1702
2006;10;8;1463;8;1929
2006;11;4;1432;4;1950
2006;12;7;1258;7;1700
2007;1;4;1119;4;1479
2007;2;6;1052;8;1463
2007;3;12;1259;12;1675
2007;4;6;1185;6;1643
2007;5;6;1378;6;1844
2007;6;8;1307;8;1778
2007;7;9;1327;9;1797
2007;8;6;632;7;884
2007;9;4;1303;4;1715
2007;10;8;1362;9;1750
2007;11;8;1294;8;1731
2007;12;1;1080;1;1448
2008;1;7;983;7;1394
2008;2;6;1073;6;1488
2008;3;5;1173;6;1621
2008;4;4;1207;4;1630
2008;5;10;1134;11;1574
2008;6;6;1199;6;1623
2008;7;5;1173;5;1530
2008;8;4;571;4;778
2008;9;7;1191;8;1604
2008;10;7;1371;7;1815
2008;11;2;1229;2;1594
2008;12;6;956;6;1281
2009;1;1;852;1;1148
2009;2;6;820;6;1096
2009;3;2;1127;2;1475
2009;4;6;1038;6;1415
2009;5;2;1218;2;1565
2009;6;7;1232;7;1686
2009;7;3;1164;3;1526
2009;8;6;580;6;838
2009;9;6;1123;7;1508
2009;10;4;1269;4;1702
2009;11;5;1145;5;1548
2009;12;2;912;2;1230
2010;1;7;822;7;1138
2010;2;4;834;4;1146
2010;3;4;1103;4;1471
2010;4;4;1109;4;1509
2010;5;4;1150;4;1552
2010;6;4;1129;4;1514
2010;7;9;1064;9;1450
2010;8;3;527;3;763
2010;9;5;1017;5;1347
2010;10;2;1144;2;1551
2010;11;3;1072;3;1429
2010;12;4;888;4;1196
2011;1;4;697;4;998
2011;2;3;830;3;1118
2011;3;5;990;5;1351
2011;4;1;1041;1;1370
2011;5;3;1174;3;1551
2011;6;3;989;3;1325
2011;7;1;932;1;1258
2011;8;4;498;4;674
2011;9;8;1137;8;1520
2011;10;9;1181;10;1571
2011;11;4;962;4;1332
2011;12;2;897;2;1210
2012;1;5;879;5;1195
2012;2;1;705;1;950
2012;3;3;950;3;1238
2012;4;6;803;6;1117
2012;5;5;1042;5;1384
2012;6;7;968;7;1282
2012;7;5;897;6;1141
2012;8;2;516;2;719
2012;9;4;850;4;1111
2012;10;6;1086;6;1419
2012;11;4;995;4;1349
2012;12;4;782;4;1028
2013;1;4;703;4;943
2013;2;2;674;2;880
2013;3;2;753;2;1011
2013;4;2;775;2;1028
2013;5;1;885;1;1168
2013;6;2;965;2;1267
2013;7;2;878;2;1120
2013;8;1;482;1;646
2013;9;2;868;2;1142
2013;10;3;991;4;1321
2013;11;4;854;4;1092
2013;12;3;779;3;1033
2014;1;2;634;2;836
2014;2;2;682;2;899
2014;3;2;757;2;979
2014;4;4;833;4;1080
2014;5;6;880;6;1095
2014;6;6;818;6;1079
2014;7;6;763;6;1016
2014;8;1;375;1;510
2014;9;3;782;3;1021
2014;10;3;872;3;1143
2014;11;2;728;2;945
2014;12;2;677;2;888
2015;1;2;650;2;845
2015;2;5;626;6;811
2015;3;5;719;5;967
2015;4;2;761;2;1001
2015;5;5;821;5;1098
2015;6;7;785;7;1040
2015;7;2;806;2;1039
2015;8;3;382;3;506
2015;9;3;761;3;992
2015;10;6;875;6;1169
2015;11;3;773;3;988
2015;12;5;620;5;815
2016;1;7;630;7;844
2016;2;1;705;1;970
2016;3;2;726;2;1011
2016;4;2;819;2;1073
2016;5;2;864;2;1168
2016;6;5;762;5;987
2016;7;4;766;4;1014
2016;8;1;428;1;585
2016;9;5;769;5;1027
2016;10;3;870;3;1111
2016;11;7;812;8;1080
2016;12;5;575;5;751
2017;1;3;559;3;725
2017;2;4;593;4;788
2017;3;3;785;3;1016
2017;4;4;713;4;954
2017;5;4;790;4;1026
2017;6;1;758;1;971
2017;7;7;684;7;898
2017;8;2;426;2;565
2017;9;5;741;5;978
2017;10;2;788;2;1029
2017;11;3;770;3;988
2017;12;9;643;9;810
2018;1;7;628;8;837
2018;2;3;624;3;819
2018;3;2;651;2;842
2018;4;2;673;2;908
2018;5;4;797;4;1036
2018;6;2;792;2;989
2018;7;2;665;2;929
2018;8;2;367;2;475
2018;9;6;752;7;991
2018;10;7;830;7;1059
2018;11;3;779;3;968
2018;12;4;652;4;856
